signal_asset,trading_asset,start,end,bars,sma_length,entry_days,exit_days,total_return,cagr,sharpe,max_drawdown,calmar,trade_count,time_in_market,final_equity
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,1,7.403237629948137,0.2215528513800138,0.9076952694068329,-0.512057532852429,0.4326717940186295,26,0.7742899850523169,840323.7629948137
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,2,7.150636427696904,0.21805269061112864,0.8876753957437992,-0.5559513366952054,0.3922154264567832,21,0.7836322869955157,815063.6427696904
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,3,6.54711394478141,0.20927468578474784,0.8514774049621902,-0.5555079560469489,0.37672671202401453,16,0.7911061285500748,754711.394478141
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,5,4.736840520159464,0.17849286633154215,0.7553324269620438,-0.6230672100796519,0.2864744981664561,14,0.8015695067264574,573684.0520159464
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,1,7.838683694463459,0.22736871657018343,0.9319834079348135,-0.4900318485194666,0.46398763112465574,19,0.7645739910313901,883868.369446346
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,2,10.053702814700724,0.25344663179437443,1.0060474140206197,-0.5013556767400298,0.5055226130924917,18,0.773168908819133,1105370.2814700725
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,3,7.250703652030101,0.21945086814922998,0.8818268596855688,-0.5015405508064378,0.4375535892289671,14,0.7836322869955157,825070.36520301
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,5,5.860497557020765,0.19847876755743732,0.8106950401424194,-0.632317094494875,0.3138911936518047,12,0.7933482810164425,686049.7557020765
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,1,9.332780958549058,0.24552394888408213,0.9895300603545962,-0.5214522897275259,0.4708464297133983,16,0.757473841554559,1033278.0958549058
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,2,11.719838061513236,0.2701012000402161,1.0583793962948225,-0.49450407743321123,0.5462062141978931,15,0.7653213751868461,1271983.8061513237
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,3,9.802769709116582,0.2507435243416498,0.9712946979289014,-0.5038458411758864,0.49765921210435937,12,0.7769058295964125,1080276.9709116581
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,5,7.860683044332202,0.22765560123891304,0.8914493075322725,-0.6241506333064937,0.3647446451073632,10,0.7858744394618834,886068.3044332202
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,1,9.855795196072052,0.25131943256961753,1.0126754996882046,-0.4641052898317818,0.5415138290294214,11,0.7462630792227205,1085579.5196072052
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,2,11.505501696264613,0.2680735643827621,1.059729151612504,-0.4212008051226117,0.6364507406502363,11,0.7533632286995515,1250550.1696264613
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,3,9.839095281541038,0.2511383307436672,0.9778316488159383,-0.5007558059639964,0.5015185600498533,9,0.7642002989536621,1083909.5281541038
